;GRUPO A;P;J;V;E;D;SG;GP;GC
1º;México;6;2;2;0;0;3;3;0
2º;Coreia do Sul;3;2;1;0;1;0;2;2
3º;República Tcheca;1;2;0;1;1;-1;2;3
4º;África do Sul;1;2;0;1;1;-2;1;3
;;;;;;;;;
;GRUPO B;P;J;V;E;D;SG;GP;GC
1º;Canadá;4;2;1;1;0;6;7;1
2º;Suíça;4;2;1;1;0;3;5;2
3º;Bósnia e Herzegovina;1;2;0;1;1;-3;2;5
4º;Catar;1;2;0;1;1;-6;1;7
;;;;;;;;;
;GRUPO C;P;J;V;E;D;SG;GP;GC
1º;Brasil;4;2;1;1;0;3;4;1
2º;Marrocos;4;2;1;1;0;1;2;1
3º;Escócia;3;2;1;0;1;0;1;1
4º;Haiti;0;2;0;0;2;-4;0;4
;;;;;;;;;
;GRUPO D;P;J;V;E;D;SG;GP;GC
1º;Estados Unidos;6;2;2;0;0;5;6;1
2º;Austrália;3;2;1;0;1;0;2;2
3º;Paraguai;3;2;1;0;1;-2;2;4
4º;Turquia;0;2;0;0;2;-3;0;3
;;;;;;;;;
;GRUPO E;P;J;V;E;D;SG;GP;GC
1º;Alemanha;6;2;2;0;0;7;9;2
2º;Costa do Marfim;3;2;1;0;1;0;2;2
3º;Equador;1;2;0;1;1;-1;0;1
4º;Curaçau;1;2;0;1;1;-6;1;7
;;;;;;;;;
;GRUPO F;P;J;V;E;D;SG;GP;GC
1º;Holanda;4;2;1;1;0;4;7;3
2º;Japão;4;2;1;1;0;4;6;2
3º;Suécia;3;2;1;0;1;0;6;6
4º;Tunísia;0;2;0;0;2;-8;1;9
;;;;;;;;;
;GRUPO G;P;J;V;E;D;SG;GP;GC
1º;Egito;4;2;1;1;0;2;4;2
2º;Bélgica;2;2;0;2;0;0;1;1
3º;Irã;2;2;0;2;0;0;2;2
4º;Nova Zelândia;1;2;0;1;1;-2;3;5
;;;;;;;;;
;GRUPO H;P;J;V;E;D;SG;GP;GC
1º;Espanha;4;2;1;1;0;4;4;0
2º;Cabo Verde;2;2;0;2;0;0;2;2
3º;Uruguai;2;2;0;2;0;0;3;3
4º;Arábia Saudita;1;2;0;1;1;-4;1;5
;;;;;;;;;
;GRUPO I;P;J;V;E;D;SG;GP;GC
1º;Noruega;3;1;1;0;0;3;4;1
2º;França;3;1;1;0;0;2;3;1
3º;Senegal;0;1;0;0;1;-2;1;3
4º;Iraque;0;1;0;0;1;-3;1;4
;;;;;;;;;
;GRUPO J;P;J;V;E;D;SG;GP;GC
1º;Argentina;3;1;1;0;0;3;3;0
2º;Áustria;3;1;1;0;0;2;3;1
3º;Jordânia;0;1;0;0;1;-2;1;3
4º;Argélia;0;1;0;0;1;-3;0;3
;;;;;;;;;
;GRUPO K;P;J;V;E;D;SG;GP;GC
1º;Colômbia;3;1;1;0;0;2;3;1
2º;Portugal;1;1;0;1;0;0;1;1
3º;RD Congo;1;1;0;1;0;0;1;1
4º;Uzbequistão;0;1;0;0;1;-2;1;3
;;;;;;;;;
;GRUPO L;P;J;V;E;D;SG;GP;GC
1º;Inglaterra;3;1;1;0;0;2;4;2
2º;Gana;3;1;1;0;0;1;1;0
3º;Panamá;0;1;0;0;1;-1;0;1
4º;Croácia;0;1;0;0;1;-2;2;4
