;;;;;;;;
DATA;HORA;;;;;;;
11/06;16:00;México;;2;x;0;;África do Sul
11/06;23:00;Coreia do Sul;;2;x;1;;República Tcheca
12/06;16:00;Canadá;;1;x;1;;Bósnia e Herzegovina
12/06;22:00;Estados Unidos;;4;x;1;;Paraguai
13/06;16:00;Catar;;1;x;1;;Suíça
13/06;19:00;Brasil;;1;x;1;;Marrocos
13/06;22:00;Haiti;;0;x;1;;Escócia
14/06;01:00;Austrália;;2;x;0;;Turquia
14/06;14:00;Alemanha;;7;x;1;;Curaçau
14/06;17:00;Holanda;;2;x;2;;Japão
14/06;20:00;Costa do Marfim;;1;x;0;;Equador
14/06;23:00;Suécia;;5;x;1;;Tunísia
15/06;13:00;Espanha;;;x;;;Cabo Verde
15/06;16:00;Bélgica;;;x;;;Egito
15/06;19:00;Arábia Saudita;;;x;;;Uruguai
15/06;22:00;Irã;;;x;;;Nova Zelândia
16/06;01:00;Áustria;;;x;;;Jordânia
16/06;16:00;França;;;x;;;Senegal
16/06;19:00;Iraque;;;x;;;Noruega
16/06;22:00;Argentina;;;x;;;Argélia
17/06;14:00;Portugal;;;x;;;RD Congo
17/06;17:00;Inglaterra;;;x;;;Croácia
17/06;20:00;Gana;;;x;;;Panamá
17/06;21:00;Uzbequistão;;;x;;;Colômbia
18/06;13:00;República Tcheca;;;x;;;África do Sul
18/06;16:00;Suíça;;;x;;;Bósnia e Herzegovina
18/06;19:00;Canadá;;;x;;;Catar
18/06;22:00;México;;;x;;;Coreia do Sul
19/06;00:00;Turquia;;;x;;;Paraguai
19/06;16:00;Estados Unidos;;;x;;;Austrália
19/06;19:00;Escócia;;;x;;;Marrocos
19/06;21:30;Brasil;;;x;;;Haiti
20/06;14:00;Holanda;;;x;;;Suécia
20/06;17:00;Alemanha;;;x;;;Costa do Marfim
20/06;21:00;Equador;;;x;;;Curaçau
20/06;23:00;Tunísia;;;x;;;Japão
21/06;13:00;Espanha;;;x;;;Arábia Saudita
21/06;16:00;Bélgica;;;x;;;Irã
21/06;19:00;Uruguai;;;x;;;Cabo Verde
21/06;22:00;Nova Zelândia;;;x;;;Egito
22/06;14:00;Argentina;;;x;;;Áustria
22/06;18:00;França;;;x;;;Iraque
22/06;21:00;Noruega;;;x;;;Senegal
22/06;00:00;Jordânia;;;x;;;Argélia
23/06;14:00;Portugal;;;x;;;Uzbequistão
23/06;17:00;Inglaterra;;;x;;;Gana
23/06;20:00;Panamá;;;x;;;Croácia
23/06;23:00;Colômbia;;;x;;;RD Congo
24/06;16:00;Suíça;;;x;;;Canadá
24/06;16:00;Bósnia e Herzegovina;;;x;;;Catar
24/06;19:00;Escócia;;;x;;;Brasil
24/06;19:00;Marrocos;;;x;;;Haiti
24/06;22:00;República Tcheca;;;x;;;México
24/06;22:00;África do Sul;;;x;;;Coreia do Sul
25/06;17:00;Curaçau;;;x;;;Costa do Marfim
25/06;17:00;Equador;;;x;;;Alemanha
25/06;20:00;Japão;;;x;;;Suécia
25/06;20:00;Tunísia;;;x;;;Holanda
25/06;23:00;Turquia;;;x;;;Estados Unidos
25/06;23:00;Paraguai;;;x;;;Austrália
26/06;16:00;Noruega;;;x;;;França
26/06;16:00;Senegal;;;x;;;Iraque
26/06;21:00;Cabo Verde;;;x;;;Arábia Saudita
26/06;21:00;Uruguai;;;x;;;Espanha
27/06;00:00;Egito;;;x;;;Irã
27/06;00:00;Nova Zelândia;;;x;;;Bélgica
27/06;18:00;Panamá;;;x;;;Inglaterra
27/06;18:00;Croácia;;;x;;;Gana
27/06;20:30;Colômbia;;;x;;;Portugal
27/06;20:30;RD Congo;;;x;;;Uzbequistão
27/06;23:00;Argélia;;;x;;;Áustria
27/06;23:00;Jordânia;;;x;;;Argentina
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
